Word,Description,Compound,Lemma,Stem,Part of Speech (POS)
cylinder,repair,,cylinder,cylinder,NN
gasket,repair,,gasket,gasket,NN
thrust,repair,,thrust,thrust,NN
inoperable,repair,,inoperate,inoperabl,ADJ
hydraulic,repair,,hydraulic,hydraulic,NN
magnetos,repair,,magnetos,magnetos,NN
pressure,repair,,pressure,pressur,VB
inoperable,repair,,inoperable,inoperabl,NN
ignition,repair,,ignition,ignition,NN
engine,repair,,engine,engine,NN
forward,repair,,forward,forward,VB
replacement,repair,,replace,replacement,NN
external,repair,,external,external,NN
lower,repair,,lower,lower,VB
increasing,repair,,increase,increas,ADJ
maintenance,repair,,maintenance,maintenanc,NN
battery,repair,,battery,battery,NN
broke,repair,,broke,broke,NN
control,repair,,control,control,NN
quit,repair,,quit,quit,NN
with,repair,,with,with,NN
check,repair,,check,check,ADJ
alternator,repair,,alternator,alternator,NN
turn,repair,,turn,turn,VB
exhaust ,repair,exhaust gas tempreture ,exhaust ,exhaust ,NN
cylinder,repair,cylinder head temperature,cylinder,cylinder,NN
open,repair,,open,open,ADJ
upper,repair,,upper,upper,VP
tighten,repair,,tighten,tighten,NN
celsius,repair,,celsius,celsius,NN
airmet,repair,,airmet,airmet,NN
alarm,repair,,alarm,alarm,ADJ
assystant,repair,,assystant,assystant,NN
fahrenheit,repair,,fahrenheit,fahrenheit,NN
channel,repair,,channel,channel,NN
low,repair,,low,low,PP
external,repair,,external,external,NN
alpha,repair,,alpha,alpha,NN
service,repair,service-bulletin,service,servic,NN
failed,repair,,failed,fail,NN
suddenly,repair,,suddenly,sudden,NN
assistant,repair,,assistant,assistant,NN
loss,repair,,loss,loss,VB
second,repair,,second,second,NN
edge,repair,leading-edge,edge,edg,NN
normal,repair,,normal,normal,ADJ
exhaust,repair,,exhaust,exhaust,NN
driftangle,repair,driftangle,drift,drift,NN
weight,repair,,weight,weight,NN
cuttoff,repair,,cuttoff,cuttoff,NN
knot,repair,,knot,knot,NN
resistance,repair,,resist,resistanc,NN
tapper,repair,,tapper,tapper,NN
alert,repair,,alert,alert,NP
vibration,repair,,vibrate,vibration,NN
interface,repair,digital-interface,interface,interfac,NN
deficiency,repair,,deficient,deficienc,NN
baffle,repair,,baffle,baffl,NN
drill,repair,pilot-drill,drill,drill,NN